 n_tokens_title, n_tokens_content, n_unique_tokens, n_non_stop_words, n_non_stop_unique_tokens, num_hrefs, num_self_hrefs, num_imgs, num_videos, average_token_length, num_keywords, data_channel_is_lifestyle, data_channel_is_entertainment, data_channel_is_bus, data_channel_is_socmed, data_channel_is_tech, data_channel_is_world, kw_min_min, kw_max_min, kw_avg_min, kw_min_max, kw_max_max, kw_avg_max, kw_min_avg, kw_max_avg, kw_avg_avg, self_reference_min_shares, self_reference_max_shares, self_reference_avg_sharess, weekday_is_monday, weekday_is_tuesday, weekday_is_wednesday, weekday_is_thursday, weekday_is_friday, weekday_is_saturday, weekday_is_sunday, is_weekend, LDA_00, LDA_01, LDA_02, LDA_03, LDA_04, global_subjectivity, global_sentiment_polarity, global_rate_positive_words, global_rate_negative_words, rate_positive_words, rate_negative_words, avg_positive_polarity, min_positive_polarity, max_positive_polarity, avg_negative_polarity, min_negative_polarity, max_negative_polarity, title_subjectivity, title_sentiment_polarity, abs_title_subjectivity, abs_title_sentiment_polarity
13,3,11,41,1,2,10,1,8,1,23,39,34,6,40,38,32,26,6,1,24,29,1,19,1,1,1,1,1,1,27,32,28,30,34,37,36,1,6,1,15,1,8,1,18,1,21,11,3,22,31,1,14,16,25,1,16,20
13,3,15,40,1,2,9,1,8,1,27,38,33,6,41,36,36,24,3,3,20,31,1,13,1,1,1,1,1,10,29,30,27,32,39,37,34,1,8,1,20,1,6,1,20,1,18,11,3,22,27,1,14,17,16,1,25,23
12,1,9,41,1,3,10,1,12,1,23,37,32,5,37,39,32,24,5,3,22,29,1,15,1,1,1,1,1,7,28,33,30,34,40,39,35,1,8,1,20,1,5,1,19,2,14,18,2,25,26,1,13,18,21,1,27,16
13,3,11,42,1,2,11,2,9,1,26,41,36,6,41,36,36,24,6,6,25,27,1,15,1,1,1,1,1,12,30,32,31,34,39,39,33,1,9,1,21,2,6,1,22,1,17,14,3,28,29,1,16,19,23,1,21,18
15,3,16,39,1,2,7,1,6,1,20,37,30,3,40,32,35,29,3,1,22,27,1,10,1,1,1,1,1,9,28,32,25,35,38,34,30,1,7,1,14,1,5,1,18,1,18,11,2,23,26,1,12,13,16,1,24,21
11,3,9,39,1,2,9,2,7,1,25,37,30,3,39,37,33,31,3,3,20,26,1,12,1,1,1,1,1,7,23,32,28,29,34,36,35,1,6,1,14,2,3,1,16,1,19,12,1,22,26,1,15,21,23,1,16,18
13,2,9,39,1,1,7,1,4,1,24,38,33,1,38,36,35,24,4,1,20,22,1,12,1,1,1,1,1,8,29,28,27,30,31,34,32,1,6,1,16,1,4,1,17,1,14,10,2,22,27,1,12,19,25,1,16,18
15,3,10,33,1,2,8,1,5,1,23,37,33,2,39,28,35,25,1,3,22,30,1,15,1,1,1,1,1,5,26,29,27,31,38,36,33,1,7,1,12,2,3,1,17,1,17,10,1,21,24,1,10,19,20,1,12,14
7,3,9,39,1,3,1,1,3,1,24,37,27,3,37,35,31,29,3,2,21,26,1,12,1,1,1,1,1,6,27,33,22,30,34,35,32,1,7,1,16,1,10,1,19,1,16,10,1,22,25,1,19,13,16,1,13,18
10,1,11,39,1,1,8,1,6,1,25,38,29,3,40,36,38,27,3,3,23,28,1,13,1,1,1,1,1,9,24,31,26,34,32,34,35,1,6,1,15,2,7,1,17,1,19,12,3,22,30,1,15,15,19,1,21,20
