 n_tokens_title, n_tokens_content, n_unique_tokens, n_non_stop_words, n_non_stop_unique_tokens, num_hrefs, num_self_hrefs, num_imgs, num_videos, average_token_length, num_keywords, data_channel_is_lifestyle, data_channel_is_entertainment, data_channel_is_bus, data_channel_is_socmed, data_channel_is_tech, data_channel_is_world, kw_min_min, kw_max_min, kw_avg_min, kw_min_max, kw_max_max, kw_avg_max, kw_min_avg, kw_max_avg, kw_avg_avg, self_reference_min_shares, self_reference_max_shares, self_reference_avg_sharess, weekday_is_monday, weekday_is_tuesday, weekday_is_wednesday, weekday_is_thursday, weekday_is_friday, weekday_is_saturday, weekday_is_sunday, is_weekend, LDA_00, LDA_01, LDA_02, LDA_03, LDA_04, global_subjectivity, global_sentiment_polarity, global_rate_positive_words, global_rate_negative_words, rate_positive_words, rate_negative_words, avg_positive_polarity, min_positive_polarity, max_positive_polarity, avg_negative_polarity, min_negative_polarity, max_negative_polarity, title_subjectivity, title_sentiment_polarity, abs_title_subjectivity, abs_title_sentiment_polarity
16,22,28,36,11,18,22,3,28,1,38,46,52,7,51,44,46,49,30,4,33,44,13,31,1,1,8,12,1,34,50,44,53,40,48,42,40,2,17,1,24,19,21,5,24,9,32,14,9,34,38,1,27,15,36,5,26,20
13,22,22,34,17,13,20,7,25,1,39,43,53,6,51,47,45,49,27,3,33,43,15,31,1,1,7,11,1,35,50,45,52,48,42,41,40,2,24,1,25,21,18,4,29,9,32,9,11,37,35,1,30,18,38,4,27,16
12,28,33,37,14,21,23,4,26,2,39,45,50,8,51,47,43,49,24,5,34,43,10,25,1,1,8,13,1,36,47,41,52,53,42,47,40,3,19,1,22,19,17,5,30,11,30,16,7,32,38,1,26,14,35,1,29,19
16,33,27,39,27,16,24,5,25,2,48,46,49,9,53,46,45,51,29,3,30,44,13,30,4,1,11,13,1,33,52,42,55,53,42,50,41,2,15,7,21,20,22,5,26,11,35,18,18,37,40,1,33,11,38,8,36,22
14,28,15,34,11,10,20,4,21,1,37,46,51,6,50,40,40,44,23,3,24,43,11,27,1,1,1,8,1,31,48,42,49,38,46,44,40,2,15,1,22,18,17,1,26,9,30,13,7,32,36,1,29,33,34,4,24,19
12,29,26,39,16,12,21,4,23,2,37,48,51,7,49,36,42,44,25,1,27,46,8,30,1,1,1,9,1,33,47,43,50,51,41,45,40,3,17,1,22,18,18,6,28,11,31,14,14,32,35,1,24,9,37,5,33,20
11,29,31,36,17,16,21,3,21,1,39,46,52,13,49,39,41,45,26,5,28,44,11,30,1,1,8,9,1,37,48,51,49,52,43,47,42,2,23,1,24,21,18,5,27,7,31,15,13,33,38,1,25,10,35,4,33,18
11,28,26,34,11,11,19,1,22,2,37,42,45,4,45,49,42,47,24,3,27,39,11,25,1,1,5,9,1,32,42,38,40,50,47,45,36,2,7,1,21,16,17,1,20,6,28,14,8,31,34,1,22,15,34,1,30,18
14,35,34,38,29,19,20,4,27,2,44,47,54,8,51,41,43,48,27,6,30,45,17,30,1,1,9,13,1,22,51,45,53,48,41,50,40,3,11,1,24,22,22,6,32,9,32,16,12,36,39,1,24,15,37,5,18,26
16,31,25,35,12,14,21,2,20,1,37,45,51,6,48,43,39,49,22,2,30,41,11,27,1,1,5,9,1,33,46,42,50,39,43,46,38,1,12,1,19,18,17,4,24,7,29,10,7,31,36,1,25,15,34,2,28,22
